term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1978-01-05T16:50:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立春,30,1978-02-04T04:26:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
驚蟄,60,1978-03-05T22:29:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
清明,90,1978-04-05T03:21:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立夏,120,1978-05-05T20:44:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
芒種,150,1978-06-06T00:57:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
小暑,180,1978-07-07T11:14:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立秋,210,1978-08-07T21:01:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
白露,240,1978-09-07T23:53:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
寒露,270,1978-10-08T15:29:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立冬,300,1978-11-07T18:36:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
大雪,330,1978-12-07T11:26:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
