term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1972-01-06T05:56:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立春,30,1972-02-04T17:32:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
驚蟄,60,1972-03-05T11:35:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
清明,90,1972-04-04T16:27:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立夏,120,1972-05-05T09:50:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
芒種,150,1972-06-05T14:03:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
小暑,180,1972-07-07T00:20:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立秋,210,1972-08-07T10:07:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
白露,240,1972-09-07T12:59:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
寒露,270,1972-10-08T04:35:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立冬,300,1972-11-07T07:42:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
大雪,330,1972-12-07T00:32:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
