term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15,1957-04-05T00:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立夏,45,1957-05-05T18:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
芒種,75,1957-06-05T22:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小暑,90,1957-07-07T09:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立秋,120,1957-08-07T19:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
白露,150,1957-09-07T21:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
寒露,165,1957-10-08T13:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立冬,195,1957-11-07T15:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
大雪,225,1957-12-07T08:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小寒,285,1957-01-05T13:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立春,315,1957-02-04T01:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
驚蟄,345,1957-03-05T19:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
