term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15,1955-04-05T13:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立夏,45,1955-05-06T06:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
芒種,75,1955-06-06T11:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小暑,90,1955-07-07T21:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立秋,120,1955-08-08T07:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
白露,150,1955-09-08T10:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
寒露,165,1955-10-09T01:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立冬,195,1955-11-08T04:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
大雪,225,1955-12-07T20:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小寒,285,1955-01-06T02:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立春,315,1955-02-04T13:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
驚蟄,345,1955-03-06T08:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
