term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15,1972-04-04T16:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立夏,45,1972-05-05T10:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
芒種,75,1972-06-05T14:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小暑,90,1972-07-07T00:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立秋,120,1972-08-07T10:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
白露,150,1972-09-07T13:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
寒露,165,1972-10-08T04:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立冬,195,1972-11-07T07:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
大雪,225,1972-12-07T00:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小寒,285,1972-01-06T05:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立春,315,1972-02-04T17:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
驚蟄,345,1972-03-05T11:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
