term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15,2015-04-05T02:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立夏,45,2015-05-05T19:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
芒種,75,2015-06-05T23:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小暑,90,2015-07-07T10:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立秋,120,2015-08-07T20:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
白露,150,2015-09-07T22:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
寒露,165,2015-10-08T14:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立冬,195,2015-11-07T17:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
大雪,225,2015-12-07T10:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小寒,285,2015-01-05T16:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立春,315,2015-02-04T03:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
驚蟄,345,2015-03-05T21:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
