term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15,2023-04-05T01:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立夏,45,2023-05-05T18:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
芒種,75,2023-06-05T22:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小暑,90,2023-07-07T08:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立秋,120,2023-08-07T18:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
白露,150,2023-09-07T21:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
寒露,165,2023-10-08T13:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立冬,195,2023-11-07T16:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
大雪,225,2023-12-07T09:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小寒,285,2023-01-05T15:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立春,315,2023-02-04T02:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
驚蟄,345,2023-03-05T20:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
