term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15,2025-04-04T03:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立夏,45,2025-05-04T20:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
芒種,75,2025-06-05T00:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小暑,90,2025-07-06T11:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立秋,120,2025-08-06T20:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
白露,150,2025-09-06T23:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
寒露,165,2025-10-07T15:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立冬,195,2025-11-06T19:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
大雪,225,2025-12-06T12:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小寒,285,2025-01-04T17:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立春,315,2025-02-03T05:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
驚蟄,345,2025-03-04T23:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
