term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15,1976-04-04T15:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立夏,45,1976-05-05T09:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
芒種,75,1976-06-05T13:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小暑,90,1976-07-06T23:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立秋,120,1976-08-07T09:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
白露,150,1976-09-07T12:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
寒露,165,1976-10-08T03:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立冬,195,1976-11-07T06:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
大雪,225,1976-12-06T23:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小寒,285,1976-01-06T04:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立春,315,1976-02-04T16:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
驚蟄,345,1976-03-05T10:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
