term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15,2010-04-04T21:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立夏,45,2010-05-05T14:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
芒種,75,2010-06-05T18:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小暑,90,2010-07-07T05:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立秋,120,2010-08-07T14:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
白露,150,2010-09-07T17:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
寒露,165,2010-10-08T09:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立冬,195,2010-11-07T12:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
大雪,225,2010-12-07T05:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小寒,285,2010-01-05T11:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立春,315,2010-02-03T22:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
驚蟄,345,2010-03-05T16:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
