term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15,1947-04-05T15:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立夏,45,1947-05-06T04:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
芒種,75,1947-06-06T13:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小暑,90,1947-07-07T23:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立秋,120,1947-08-08T09:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
白露,150,1947-09-08T12:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
寒露,165,1947-10-09T03:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立冬,195,1947-11-08T06:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
大雪,225,1947-12-07T22:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小寒,285,1947-01-06T04:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立春,315,1947-02-04T15:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
驚蟄,345,1947-03-06T10:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
