term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15,1903-04-05T14:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立夏,45,1903-05-06T08:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
芒種,75,1903-06-06T13:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小暑,90,1903-07-07T23:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立秋,120,1903-08-08T09:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
白露,150,1903-09-08T11:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
寒露,165,1903-10-09T02:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立冬,195,1903-11-08T05:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
大雪,225,1903-12-07T21:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小寒,285,1903-01-06T02:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立春,315,1903-02-04T14:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
驚蟄,345,1903-03-06T08:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
