term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15,1956-04-04T19:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立夏,45,1956-05-05T12:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
芒種,75,1956-06-05T17:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小暑,90,1956-07-07T03:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立秋,120,1956-08-07T13:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
白露,150,1956-09-07T15:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
寒露,165,1956-10-08T07:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立冬,195,1956-11-07T09:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
大雪,225,1956-12-07T02:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小寒,285,1956-01-06T08:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立春,315,1956-02-04T19:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
驚蟄,345,1956-03-05T13:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
