num,solar_date,solar_yun,ganji,lunar_date,lunar_yun,month_code,month_24,day_time,daeun_man,daeun_woman,harak_date,harak_daytime1,harak_daytime2,yunju,wolju,ilju,div_hour,div_minute
32873,1990-01-01,0,병인,1989-12-05,0,L,0,252131,8,1,1989-12-26,260352,270309,5,12,2,0,0
32874,1990-01-02,0,정묘,1989-12-06,0,L,0,262131,9,1,1989-12-27,270309,280227,5,12,3,0,0
32875,1990-01-03,0,무진,1989-12-07,0,L,0,272131,9,1,1989-12-28,280227,290144,5,12,4,0,0
32876,1990-01-04,0,기사,1989-12-08,0,L,0,282131,9,1,1989-12-29,290144,12343,5,12,5,0,0
32877,1990-01-05,0,경오,1989-12-09,0,A,1,2343,,,1989-01-01,12343,22319,5,12,6,23,38
32878,1990-01-06,0,신미,1989-12-10,0,A,1,12343,1,10,1989-01-02,22319,32256,5,13,7,0,0
32879,1990-01-07,0,임신,1989-12-11,0,A,1,22343,1,9,1989-01-03,32256,42232,5,13,8,0,0
32880,1990-01-08,0,계유,1989-12-12,0,A,1,32343,1,9,1989-01-04,42232,52209,5,13,9,0,0
32881,1990-01-09,0,갑술,1989-12-13,0,A,1,42343,1,9,1989-01-05,52209,62145,5,13,10,0,0
32882,1990-01-10,0,을해,1989-12-14,0,A,1,52343,2,8,1989-01-06,62145,72122,5,13,11,0,0
32883,1990-01-11,0,병자,1989-12-15,0,A,1,62343,2,8,1989-01-07,72122,82059,5,13,12,0,0
32884,1990-01-12,0,정축,1989-12-16,0,A,1,72343,2,8,1989-01-08,82059,92036,5,13,13,0,0
32885,1990-01-13,0,무인,1989-12-17,0,A,1,82343,3,7,1989-01-09,92036,102012,5,13,14,0,0
32886,1990-01-14,0,기묘,1989-12-18,0,A,1,92343,3,7,1989-01-10,102012,111949,5,13,15,0,0
32887,1990-01-15,0,경진,1989-12-19,0,A,1,102343,3,7,1989-01-11,111949,121925,5,13,16,0,0
32888,1990-01-16,0,신사,1989-12-20,0,A,1,112343,4,6,1989-01-12,121925,131902,5,13,17,0,0
