num,solar_date,solar_yun,ganji,lunar_date,lunar_yun,month_code,month_24,day_time,daeun_man,daeun_woman,harak_date,harak_daytime1,harak_daytime2,yunju,wolju,ilju,div_hour,div_minute
10958,1930-01-01,0,신해,1929-12-02,0,L,0,252257,8,2,1929-12-26,261247,271223,5,12,47,0,0
10959,1930-01-02,0,임자,1929-12-03,0,L,0,262257,9,1,1929-12-27,271223,281158,5,12,48,0,0
10960,1930-01-03,0,계축,1929-12-04,0,L,0,272257,9,1,1929-12-28,281158,291135,5,12,49,0,0
10961,1930-01-04,0,갑인,1929-12-05,0,L,0,282257,9,1,1929-12-29,291135,301110,5,12,50,0,0
10962,1930-01-05,0,을묘,1929-12-06,0,L,0,292257,10,1,1929-12-30,301110,11003,5,12,51,0,0
10963,1930-01-06,0,병진,1929-12-07,0,A,1,1003,,,1929-01-01,11003,20940,5,12,52,10,38
10964,1930-01-07,0,정사,1929-12-08,0,A,1,11003,1,9,1929-01-02,20940,30916,5,13,53,0,0
10965,1930-01-08,0,무오,1929-12-09,0,A,1,21003,1,9,1929-01-03,30916,40853,5,13,54,0,0
10966,1930-01-09,0,기미,1929-12-10,0,A,1,31003,1,9,1929-01-04,40853,50829,5,13,55,0,0
10967,1930-01-10,0,경신,1929-12-11,0,A,1,41003,1,8,1929-01-05,50829,60805,5,13,56,0,0
10968,1930-01-11,0,신유,1929-12-12,0,A,1,51003,2,8,1929-01-06,60805,70742,5,13,57,0,0
10969,1930-01-12,0,임술,1929-12-13,0,A,1,61003,2,8,1929-01-07,70742,80718,5,13,58,0,0
10970,1930-01-13,0,계해,1929-12-14,0,A,1,71003,2,7,1929-01-08,80718,90654,5,13,59,0,0
10971,1930-01-14,0,갑자,1929-12-15,0,A,1,81003,3,7,1929-01-09,90654,100631,5,13,0,0,0
10972,1930-01-15,0,을축,1929-12-16,0,A,1,91003,3,7,1929-01-10,100631,110607,5,13,1,0,0
10973,1930-01-16,0,병인,1929-12-17,0,A,1,101003,3,6,1929-01-11,110607,120543,5,13,2,0,0
10974,1930-01-17,0,정묘,1929-12-18,0,A,1,111003,4,6,1929-01-12,120543,130520,5,13,3,0,0
10975,1930-01-18,0,무진,1929-12-19,0,A,1,121003,4,6,1929-01-13,130520,140456,5,13,4,0,0
10976,1930-01-19,0,기사,1929-12-20,0,A,1,131003,4,5,1929-01-14,140456,150432,5,13,5,0,0
10977,1930-01-20,0,경오,1929-12-21,0,A,1,141003,5,5,1929-01-15,150432,160409,5,13,6,0,0
10978,1930-01-21,0,신미,1929-12-22,0,A,1,151003,5,5,1929-01-16,160409,170345,5,13,7,3,58
10979,1930-01-22,0,임신,1929-12-23,0,A,1,161003,5,4,1929-01-17,170345,180321,5,13,8,0,0
10980,1930-01-23,0,계유,1929-12-24,0,A,1,171003,6,4,1929-01-18,180321,190258,5,13,9,0,0
10981,1930-01-24,0,갑술,1929-12-25,0,A,1,181003,6,4,1929-01-19,190258,200234,5,13,10,0,0
10982,1930-01-25,0,을해,1929-12-26,0,A,1,191003,6,3,1929-01-20,200234,210210,5,13,11,0,0
10983,1930-01-26,0,병자,1929-12-27,0,A,1,201003,7,3,1929-01-21,210210,220147,5,13,12,0,0
10984,1930-01-27,0,정축,1929-12-28,0,A,1,211003,7,3,1929-01-22,220147,230123,5,13,13,0,0
10985,1930-01-28,0,무인,1929-12-29,0,A,1,221003,7,2,1929-01-23,230123,240059,5,13,14,0,0
10986,1930-01-29,0,기묘,1929-12-30,0,A,1,231003,8,2,1929-01-24,240059,250036,5,13,15,0,0
