term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1979-01-05T22:39:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立春,30,1979-02-04T10:15:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
驚蟄,60,1979-03-06T04:18:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
清明,90,1979-04-05T09:10:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立夏,120,1979-05-06T02:33:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
芒種,150,1979-06-06T06:46:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
小暑,180,1979-07-07T17:03:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立秋,210,1979-08-08T02:50:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
白露,240,1979-09-08T05:42:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
寒露,270,1979-10-08T21:18:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立冬,300,1979-11-08T00:25:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
大雪,330,1979-12-07T17:15:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
