term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1992-01-06T02:16:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立春,30,1992-02-04T13:52:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
驚蟄,60,1992-03-05T07:55:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
清明,90,1992-04-04T12:47:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立夏,120,1992-05-05T06:10:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
芒種,150,1992-06-05T10:23:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
小暑,180,1992-07-07T15:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立秋,210,1992-08-07T06:27:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
白露,240,1992-09-07T09:19:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
寒露,270,1992-10-08T00:55:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立冬,300,1992-11-07T04:02:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
大雪,330,1992-12-06T20:52:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
