term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1945-01-05T16:53:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立春,30,1945-02-04T04:29:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
驚蟄,60,1945-03-05T22:32:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
清明,90,1945-04-05T03:24:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立夏,120,1945-05-05T20:47:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
芒種,150,1945-06-06T01:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
小暑,180,1945-07-07T11:17:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立秋,210,1945-08-07T21:04:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
白露,240,1945-09-07T23:56:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
寒露,270,1945-10-08T15:32:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立冬,300,1945-11-07T18:39:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
大雪,330,1945-12-07T11:29:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
