term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,2024-01-06T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
大寒,15,2024-01-20T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立春,30,2024-02-04T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
雨水,45,2024-02-19T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
驚蟄,60,2024-03-05T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
春分,75,2024-03-20T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
清明,90,2024-04-04T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
穀雨,105,2024-04-19T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立夏,120,2024-05-05T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
小滿,135,2024-05-20T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
芒種,150,2024-06-05T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
夏至,165,2024-06-21T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
小暑,180,2024-07-06T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
大暑,195,2024-07-22T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立秋,210,2024-08-07T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
處暑,225,2024-08-22T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
白露,240,2024-09-07T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
秋分,255,2024-09-22T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
寒露,270,2024-10-08T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
霜降,285,2024-10-23T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立冬,300,2024-11-07T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
小雪,315,2024-11-22T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
大雪,330,2024-12-07T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
冬至,345,2024-12-21T03:00:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
