term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,285.0,1930-01-06T01:04:01Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
大寒,300.0,1930-01-20T18:28:17Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
立春,315.0,1930-02-04T12:49:40Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
雨水,330.0,1930-02-19T08:51:33Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
驚蟄,345.0,1930-03-06T07:11:18Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
春分,0.0,1930-03-21T08:17:48Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
清明,15.0,1930-04-05T12:29:20Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
穀雨,30.0,1930-04-20T19:51:57Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
立夏,45.0,1930-05-06T06:18:39Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
小滿,60.0,1930-05-21T19:29:19Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
芒種,75.0,1930-06-06T10:51:50Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
夏至,90.0,1930-06-22T03:44:06Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
小暑,105.0,1930-07-07T21:17:08Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
大暑,120.0,1930-07-23T14:38:43Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
立秋,135.0,1930-08-08T06:57:36Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
處暑,150.0,1930-08-23T21:27:21Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
白露,165.0,1930-09-08T09:29:53Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
秋分,180.0,1930-09-23T18:38:08Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
寒露,195.0,1930-10-09T00:37:37Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
霜降,210.0,1930-10-24T03:27:05Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
立冬,225.0,1930-11-08T03:18:04Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
小雪,240.0,1930-11-23T00:33:41Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
大雪,255.0,1930-12-07T19:46:48Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
冬至,270.0,1930-12-22T13:37:43Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
