term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,285.0,1932-01-06T12:38:57Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
大寒,300.0,1932-01-21T06:03:08Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
立春,315.0,1932-02-05T00:24:20Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
雨水,330.0,1932-02-19T20:25:56Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
驚蟄,345.0,1932-03-05T18:45:18Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
春分,0.0,1932-03-20T19:51:21Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
清明,15.0,1932-04-05T00:02:24Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
穀雨,30.0,1932-04-20T07:24:31Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
立夏,45.0,1932-05-05T17:50:45Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
小滿,60.0,1932-05-21T07:01:00Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
芒種,75.0,1932-06-05T22:23:11Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
夏至,90.0,1932-06-21T15:15:15Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
小暑,105.0,1932-07-07T08:48:11Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
大暑,120.0,1932-07-23T02:09:49Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
立秋,135.0,1932-08-07T18:28:53Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
處暑,150.0,1932-08-23T08:58:55Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
白露,165.0,1932-09-07T21:01:50Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
秋分,180.0,1932-09-23T06:10:31Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
寒露,195.0,1932-10-08T12:10:29Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
霜降,210.0,1932-10-23T15:00:25Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
立冬,225.0,1932-11-07T14:51:50Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
小雪,240.0,1932-11-22T12:07:49Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
大雪,255.0,1932-12-07T07:21:14Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
冬至,270.0,1932-12-22T01:12:20Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
