term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1990-01-05T14:29:23Z,138.44,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,1990-02-04T02:09:21Z,138.56,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,1990-03-05T20:13:34Z,138.68,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,1990-04-05T01:06:59Z,138.80,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,1990-05-05T18:30:11Z,138.92,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,1990-06-05T22:43:38Z,139.04,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,1990-07-07T09:00:55Z,139.16,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,1990-08-07T18:47:35Z,139.28,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,1990-09-07T21:38:37Z,139.39,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,1990-10-08T13:11:59Z,139.51,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,1990-11-07T16:17:47Z,139.63,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,1990-12-07T09:05:08Z,139.75,SAJU_LITE_REFINED,v1.5.10+astro
