term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1987-01-05T21:06:59Z,134.17,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,1987-02-04T08:47:19Z,134.29,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,1987-03-06T02:52:36Z,134.41,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,1987-04-05T07:47:03Z,134.53,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,1987-05-06T01:11:44Z,134.65,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,1987-06-06T05:25:58Z,134.76,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,1987-07-07T15:43:38Z,134.88,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,1987-08-08T01:30:11Z,135.00,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,1987-09-08T04:19:54Z,135.12,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,1987-10-08T19:51:41Z,135.24,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,1987-11-07T22:56:10Z,135.36,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,1987-12-07T15:42:34Z,135.47,SAJU_LITE_REFINED,v1.5.10+astro
