term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,2047-01-05T10:34:40Z,90.44,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,2047-02-03T22:09:53Z,90.51,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,2047-03-05T15:58:17Z,90.58,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,2047-04-04T20:28:20Z,90.66,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,2047-05-05T13:27:01Z,90.73,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,2047-06-05T17:21:13Z,90.80,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,2047-07-07T03:30:43Z,90.87,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,2047-08-07T13:23:04Z,90.94,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,2047-09-07T16:31:14Z,91.01,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,2047-10-08T08:28:36Z,91.08,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,2047-11-07T11:58:32Z,91.15,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,2047-12-07T05:03:49Z,91.23,SAJU_LITE_REFINED,v1.5.10+astro
