term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,2010-01-05T11:00:23Z,66.72,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,2010-02-03T22:38:53Z,66.75,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,2010-03-05T16:37:34Z,66.79,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,2010-04-04T21:22:32Z,66.83,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,2010-05-05T14:37:18Z,66.86,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,2010-06-05T18:43:54Z,66.90,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,2010-07-07T04:58:32Z,66.94,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,2010-08-07T14:47:35Z,66.97,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,2010-09-07T17:44:41Z,67.01,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,2010-10-08T09:26:29Z,67.05,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,2010-11-07T12:40:44Z,67.08,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,2010-12-07T05:34:40Z,67.12,SAJU_LITE_REFINED,v1.5.10+astro
