term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,2014-01-05T10:21:13Z,68.55,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,2014-02-03T21:59:20Z,68.59,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,2014-03-05T15:57:13Z,68.63,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,2014-04-04T20:41:00Z,68.67,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,2014-05-05T13:54:26Z,68.71,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,2014-06-05T18:00:07Z,68.75,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,2014-07-07T04:14:22Z,68.79,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,2014-08-07T14:03:49Z,68.83,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,2014-09-07T17:02:14Z,68.87,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,2014-10-08T08:46:00Z,68.91,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,2014-11-07T12:01:58Z,68.95,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,2014-12-07T04:57:13Z,68.99,SAJU_LITE_REFINED,v1.5.10+astro
