term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,2036-01-05T10:37:45Z,0.0,POLY_EXTRAPOLATION,quadratic
立春,0,2036-02-03T22:08:41Z,0.0,POLY_EXTRAPOLATION,quadratic
驚蟄,0,2036-03-04T16:16:45Z,0.0,POLY_EXTRAPOLATION,quadratic
清明,0,2036-04-03T20:17:33Z,0.0,POLY_EXTRAPOLATION,quadratic
立夏,0,2036-05-04T14:31:32Z,0.0,POLY_EXTRAPOLATION,quadratic
芒種,0,2036-06-04T18:44:36Z,0.0,POLY_EXTRAPOLATION,quadratic
小暑,0,2036-07-06T00:40:44Z,0.0,POLY_EXTRAPOLATION,quadratic
立秋,0,2036-08-06T12:35:24Z,0.0,POLY_EXTRAPOLATION,quadratic
白露,0,2036-09-06T17:43:04Z,0.0,POLY_EXTRAPOLATION,quadratic
寒露,0,2036-10-07T09:16:00Z,0.0,POLY_EXTRAPOLATION,quadratic
立冬,0,2036-11-06T06:12:38Z,0.0,POLY_EXTRAPOLATION,quadratic
大雪,0,2036-12-06T06:28:58Z,0.0,POLY_EXTRAPOLATION,quadratic
