term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1976-01-06T04:54:58Z,118.70,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,1976-02-04T16:36:31Z,118.82,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,1976-03-05T10:44:57Z,118.94,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,1976-04-04T15:44:09Z,119.05,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,1976-05-05T09:13:50Z,119.17,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,1976-06-05T13:32:02Z,119.28,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,1976-07-06T23:51:32Z,119.40,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,1976-08-07T09:37:18Z,119.51,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,1976-09-07T12:24:07Z,119.63,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,1976-10-08T03:51:48Z,119.75,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,1976-11-07T06:52:04Z,119.86,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,1976-12-06T23:35:27Z,119.98,SAJU_LITE_REFINED,v1.5.10+astro
