term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1966-01-05T18:50:13Z,105.01,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,1966-02-04T06:32:33Z,105.12,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,1966-03-06T00:43:54Z,105.23,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,1966-04-05T05:47:19Z,105.34,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,1966-05-05T23:21:13Z,105.46,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,1966-06-06T03:42:34Z,105.57,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,1966-07-07T14:03:17Z,105.68,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,1966-08-07T23:47:35Z,105.79,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,1966-09-08T02:30:58Z,105.91,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,1966-10-08T17:53:55Z,106.02,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,1966-11-07T20:49:26Z,106.13,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,1966-12-07T13:29:08Z,106.24,SAJU_LITE_REFINED,v1.5.10+astro
