term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,2023-01-05T14:55:23Z,73.31,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,2023-02-04T02:32:49Z,73.36,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,2023-03-05T20:27:49Z,73.41,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,2023-04-05T01:07:30Z,73.46,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,2023-05-05T18:17:00Z,73.50,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,2023-06-05T22:19:06Z,73.55,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,2023-07-07T08:32:02Z,73.60,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,2023-08-07T18:21:45Z,73.65,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,2023-09-07T21:22:32Z,73.70,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,2023-10-08T13:09:37Z,73.75,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,2023-11-07T16:29:08Z,73.80,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,2023-12-07T09:26:45Z,73.85,SAJU_LITE_REFINED,v1.5.10+astro
