term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,2027-01-05T14:05:24Z,75.72,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,2027-02-04T01:42:03Z,75.77,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,2027-03-05T19:35:59Z,75.82,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,2027-04-05T00:14:06Z,75.88,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,2027-05-05T17:21:29Z,75.93,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,2027-06-05T21:22:32Z,75.98,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,2027-07-07T07:34:40Z,76.03,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,2027-08-07T17:24:55Z,76.09,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,2027-09-07T20:27:01Z,76.14,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,2027-10-08T12:15:57Z,76.19,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,2027-11-07T15:37:18Z,76.24,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,2027-12-07T08:36:15Z,76.30,SAJU_LITE_REFINED,v1.5.10+astro
