term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,2026-01-05T08:17:47Z,75.10,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,2026-02-03T19:54:35Z,75.15,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,2026-03-05T13:48:47Z,75.20,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,2026-04-04T18:27:17Z,75.25,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,2026-05-05T11:35:12Z,75.31,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,2026-06-05T15:36:15Z,75.36,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,2026-07-07T01:48:38Z,75.41,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,2026-08-07T11:38:53Z,75.46,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,2026-09-07T14:40:44Z,75.51,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,2026-10-08T06:28:52Z,75.56,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,2026-11-07T09:49:57Z,75.62,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,2026-12-07T02:48:23Z,75.67,SAJU_LITE_REFINED,v1.5.10+astro
