term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1914-01-06T03:45:13Z,44.08,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,1914-02-04T15:32:17Z,44.16,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,1914-03-06T09:58:24Z,44.24,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,1914-04-05T15:23:04Z,44.32,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,1914-05-06T09:19:06Z,44.39,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,1914-06-06T13:57:29Z,44.47,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,1914-07-08T00:24:39Z,44.55,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,1914-08-08T10:03:33Z,44.63,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,1914-09-08T12:30:58Z,44.71,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,1914-10-09T03:32:02Z,44.79,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,1914-11-08T06:05:40Z,44.87,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,1914-12-07T22:29:39Z,44.95,SAJU_LITE_REFINED,v1.5.10+astro
