term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1994-01-05T13:46:16Z,144.16,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,1994-02-04T01:25:58Z,144.28,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,1994-03-05T19:29:23Z,144.40,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,1994-04-05T00:21:13Z,144.52,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,1994-05-05T17:43:06Z,144.64,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,1994-06-05T21:55:23Z,144.76,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,1994-07-07T08:12:31Z,144.88,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,1994-08-07T17:59:52Z,145.00,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,1994-09-07T20:52:20Z,145.12,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,1994-10-08T12:27:33Z,145.24,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,1994-11-07T15:35:12Z,145.36,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,1994-12-07T08:24:07Z,145.48,SAJU_LITE_REFINED,v1.5.10+astro
