term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1917-01-05T21:09:05Z,46.95,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,1917-02-04T08:56:01Z,47.03,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,1917-03-06T03:21:13Z,47.11,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,1917-04-05T08:44:41Z,47.20,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,1917-05-06T02:39:25Z,47.28,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,1917-06-06T07:17:00Z,47.36,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,1917-07-07T17:43:54Z,47.44,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,1917-08-08T03:23:20Z,47.52,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,1917-09-08T05:51:48Z,47.60,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,1917-10-08T20:54:19Z,47.68,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,1917-11-07T23:29:39Z,47.77,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,1917-12-07T15:54:35Z,47.85,SAJU_LITE_REFINED,v1.5.10+astro
