term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,2006-01-05T11:49:26Z,65.07,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,2006-02-03T23:28:04Z,65.10,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,2006-03-05T17:27:49Z,65.14,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,2006-04-04T22:14:38Z,65.17,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,2006-05-05T15:30:58Z,65.20,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,2006-06-05T19:38:53Z,65.23,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,2006-07-07T05:53:55Z,65.27,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,2006-08-07T15:42:19Z,65.30,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,2006-09-07T18:37:50Z,65.33,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,2006-10-08T10:17:47Z,65.37,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,2006-11-07T13:30:11Z,65.40,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,2006-12-07T06:22:32Z,65.43,SAJU_LITE_REFINED,v1.5.10+astro
