term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1991-01-05T20:17:32Z,139.87,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,1991-02-04T07:57:29Z,139.99,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,1991-03-06T02:01:27Z,140.11,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,1991-04-05T06:54:19Z,140.23,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,1991-05-06T00:17:16Z,140.35,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,1991-06-06T04:30:27Z,140.47,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,1991-07-07T14:47:35Z,140.58,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,1991-08-08T00:34:24Z,140.70,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,1991-09-08T03:25:58Z,140.82,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,1991-10-08T18:59:36Z,140.94,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,1991-11-07T22:05:55Z,141.06,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,1991-12-07T14:53:55Z,141.18,SAJU_LITE_REFINED,v1.5.10+astro
