term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1920-01-06T14:38:37Z,49.92,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,1920-02-05T02:25:26Z,50.00,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,1920-03-05T20:50:13Z,50.09,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,1920-04-05T02:12:31Z,50.17,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,1920-05-05T20:06:11Z,50.25,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,1920-06-06T00:43:06Z,50.34,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,1920-07-07T11:09:53Z,50.42,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,1920-08-07T20:49:42Z,50.51,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,1920-09-07T23:19:22Z,50.59,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,1920-10-08T14:23:20Z,50.68,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,1920-11-07T16:59:52Z,50.76,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,1920-12-07T09:25:58Z,50.84,SAJU_LITE_REFINED,v1.5.10+astro
