term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15.0,2021-04-04T13:34:00Z,,kfa_manseoryeok,v1
立夏,45.0,2021-05-05T06:46:00Z,,kfa_manseoryeok,v1
芒種,75.0,2021-06-05T10:51:00Z,,kfa_manseoryeok,v1
小暑,90.0,2021-07-06T21:04:00Z,,kfa_manseoryeok,v1
立秋,120.0,2021-08-07T06:53:00Z,,kfa_manseoryeok,v1
白露,150.0,2021-09-07T09:52:00Z,,kfa_manseoryeok,v1
寒露,165.0,2021-10-08T01:38:00Z,,kfa_manseoryeok,v1
立冬,195.0,2021-11-07T04:58:00Z,,kfa_manseoryeok,v1
大雪,225.0,2021-12-06T21:56:00Z,,kfa_manseoryeok,v1
小寒,285.0,2021-01-05T03:22:00Z,,kfa_manseoryeok,v1
立春,315.0,2021-02-03T14:58:00Z,,kfa_manseoryeok,v1
驚蟄,345.0,2021-03-05T08:53:00Z,,kfa_manseoryeok,v1
