term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15.0,2001-04-04T16:58:00Z,,kfa_manseoryeok,v1
立夏,45.0,2001-05-05T10:32:00Z,,kfa_manseoryeok,v1
芒種,75.0,2001-06-05T14:46:00Z,,kfa_manseoryeok,v1
小暑,90.0,2001-07-07T00:58:00Z,,kfa_manseoryeok,v1
立秋,120.0,2001-08-07T10:54:00Z,,kfa_manseoryeok,v1
白露,150.0,2001-09-07T13:48:00Z,,kfa_manseoryeok,v1
寒露,165.0,2001-10-08T05:31:00Z,,kfa_manseoryeok,v1
立冬,195.0,2001-11-07T08:38:00Z,,kfa_manseoryeok,v1
大雪,225.0,2001-12-07T01:34:00Z,,kfa_manseoryeok,v1
小寒,285.0,2001-01-05T06:48:00Z,,kfa_manseoryeok,v1
立春,315.0,2001-02-03T18:26:00Z,,kfa_manseoryeok,v1
驚蟄,345.0,2001-03-05T12:23:00Z,,kfa_manseoryeok,v1
