term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15.0,2016-04-04T08:27:00Z,,kfa_manseoryeok,v1
立夏,45.0,2016-05-05T01:41:00Z,,kfa_manseoryeok,v1
芒種,75.0,2016-06-05T05:48:00Z,,kfa_manseoryeok,v1
小暑,90.0,2016-07-06T16:02:00Z,,kfa_manseoryeok,v1
立秋,120.0,2016-08-07T01:52:00Z,,kfa_manseoryeok,v1
白露,150.0,2016-09-07T04:50:00Z,,kfa_manseoryeok,v1
寒露,165.0,2016-10-07T20:32:00Z,,kfa_manseoryeok,v1
立冬,195.0,2016-11-06T23:47:00Z,,kfa_manseoryeok,v1
大雪,225.0,2016-12-06T16:40:00Z,,kfa_manseoryeok,v1
小寒,285.0,2016-01-05T22:07:00Z,,kfa_manseoryeok,v1
立春,315.0,2016-02-04T09:45:00Z,,kfa_manseoryeok,v1
驚蟄,345.0,2016-03-05T03:43:00Z,,kfa_manseoryeok,v1
