term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15.0,2007-04-05T03:56:00Z,,kfa_manseoryeok,v1
立夏,45.0,2007-05-05T21:21:00Z,,kfa_manseoryeok,v1
芒種,75.0,2007-06-06T01:32:00Z,,kfa_manseoryeok,v1
小暑,90.0,2007-07-07T11:49:00Z,,kfa_manseoryeok,v1
立秋,120.0,2007-08-07T21:42:00Z,,kfa_manseoryeok,v1
白露,150.0,2007-09-08T00:42:00Z,,kfa_manseoryeok,v1
寒露,165.0,2007-10-08T16:26:00Z,,kfa_manseoryeok,v1
立冬,195.0,2007-11-07T19:31:00Z,,kfa_manseoryeok,v1
大雪,225.0,2007-12-07T12:26:00Z,,kfa_manseoryeok,v1
小寒,285.0,2007-01-05T17:44:00Z,,kfa_manseoryeok,v1
立春,315.0,2007-02-04T05:23:00Z,,kfa_manseoryeok,v1
驚蟄,345.0,2007-03-05T23:18:00Z,,kfa_manseoryeok,v1
