term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15.0,1985-04-04T20:14:00Z,,kfa_manseoryeok,v1
立夏,45.0,1985-05-05T13:43:00Z,,kfa_manseoryeok,v1
芒種,75.0,1985-06-05T18:00:00Z,,kfa_manseoryeok,v1
小暑,90.0,1985-07-07T04:19:00Z,,kfa_manseoryeok,v1
立秋,120.0,1985-08-07T14:04:00Z,,kfa_manseoryeok,v1
白露,150.0,1985-09-07T16:53:00Z,,kfa_manseoryeok,v1
寒露,165.0,1985-10-08T08:25:00Z,,kfa_manseoryeok,v1
立冬,195.0,1985-11-07T11:29:00Z,,kfa_manseoryeok,v1
大雪,225.0,1985-12-07T04:16:00Z,,kfa_manseoryeok,v1
小寒,285.0,1985-01-05T07:35:00Z,,kfa_manseoryeok,v1
立春,315.0,1985-02-03T21:12:00Z,,kfa_manseoryeok,v1
驚蟄,345.0,1985-03-05T15:16:00Z,,kfa_manseoryeok,v1
