term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15.0,1978-04-05T03:39:00Z,,kfa_manseoryeok,v1
立夏,45.0,1978-05-05T21:09:00Z,,kfa_manseoryeok,v1
芒種,75.0,1978-06-06T01:23:00Z,,kfa_manseoryeok,v1
小暑,90.0,1978-07-07T11:37:00Z,,kfa_manseoryeok,v1
立秋,120.0,1978-08-07T21:18:00Z,,kfa_manseoryeok,v1
白露,150.0,1978-09-08T00:03:00Z,,kfa_manseoryeok,v1
寒露,165.0,1978-10-08T15:31:00Z,,kfa_manseoryeok,v1
立冬,195.0,1978-11-07T18:34:00Z,,kfa_manseoryeok,v1
大雪,225.0,1978-12-07T11:20:00Z,,kfa_manseoryeok,v1
小寒,285.0,1978-01-05T16:44:00Z,,kfa_manseoryeok,v1
立春,315.0,1978-02-04T04:27:00Z,,kfa_manseoryeok,v1
驚蟄,345.0,1978-03-05T22:38:00Z,,kfa_manseoryeok,v1
