term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15.0,2019-04-05T01:50:00Z,,kfa_manseoryeok,v1
立夏,45.0,2019-05-05T19:02:00Z,,kfa_manseoryeok,v1
芒種,75.0,2019-06-05T23:05:00Z,,kfa_manseoryeok,v1
小暑,90.0,2019-07-07T09:20:00Z,,kfa_manseoryeok,v1
立秋,120.0,2019-08-07T19:12:00Z,,kfa_manseoryeok,v1
白露,150.0,2019-09-07T22:16:00Z,,kfa_manseoryeok,v1
寒露,165.0,2019-10-08T14:05:00Z,,kfa_manseoryeok,v1
立冬,195.0,2019-11-07T17:23:00Z,,kfa_manseoryeok,v1
大雪,225.0,2019-12-07T10:17:00Z,,kfa_manseoryeok,v1
小寒,285.0,2019-01-05T15:38:00Z,,kfa_manseoryeok,v1
立春,315.0,2019-02-04T03:13:00Z,,kfa_manseoryeok,v1
驚蟄,345.0,2019-03-05T21:09:00Z,,kfa_manseoryeok,v1
