term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15.0,1955-04-05T14:09:00Z,,kfa_manseoryeok,v1
立夏,45.0,1955-05-06T06:48:00Z,,kfa_manseoryeok,v1
芒種,75.0,1955-06-06T11:14:00Z,,kfa_manseoryeok,v1
小暑,90.0,1955-07-07T21:36:00Z,,kfa_manseoryeok,v1
立秋,120.0,1955-08-08T07:21:00Z,,kfa_manseoryeok,v1
白露,150.0,1955-09-08T10:02:00Z,,kfa_manseoryeok,v1
寒露,165.0,1955-10-09T02:23:00Z,,kfa_manseoryeok,v1
立冬,195.0,1955-11-08T05:16:00Z,,kfa_manseoryeok,v1
大雪,225.0,1955-12-07T21:54:00Z,,kfa_manseoryeok,v1
小寒,285.0,1955-01-06T03:07:00Z,,kfa_manseoryeok,v1
立春,315.0,1955-02-04T14:48:00Z,,kfa_manseoryeok,v1
驚蟄,345.0,1955-03-06T09:02:00Z,,kfa_manseoryeok,v1
