term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15.0,1951-04-05T14:33:00Z,,kfa_manseoryeok,v1
立夏,45.0,1951-05-06T07:10:00Z,,kfa_manseoryeok,v1
芒種,75.0,1951-06-06T11:33:00Z,,kfa_manseoryeok,v1
小暑,90.0,1951-07-07T21:54:00Z,,kfa_manseoryeok,v1
立秋,120.0,1951-08-08T07:38:00Z,,kfa_manseoryeok,v1
白露,150.0,1951-09-08T10:19:00Z,,kfa_manseoryeok,v1
寒露,165.0,1951-10-09T02:37:00Z,,kfa_manseoryeok,v1
立冬,195.0,1951-11-08T05:27:00Z,,kfa_manseoryeok,v1
大雪,225.0,1951-12-07T22:03:00Z,,kfa_manseoryeok,v1
小寒,285.0,1951-01-06T03:31:00Z,,kfa_manseoryeok,v1
立春,315.0,1951-02-04T15:14:00Z,,kfa_manseoryeok,v1
驚蟄,345.0,1951-03-06T09:27:00Z,,kfa_manseoryeok,v1
