term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15.0,2004-04-04T10:37:00Z,,kfa_manseoryeok,v1
立夏,45.0,2004-05-05T03:57:00Z,,kfa_manseoryeok,v1
芒種,75.0,2004-06-05T08:05:00Z,,kfa_manseoryeok,v1
小暑,90.0,2004-07-06T18:24:00Z,,kfa_manseoryeok,v1
立秋,120.0,2004-08-07T04:11:00Z,,kfa_manseoryeok,v1
白露,150.0,2004-09-07T07:09:00Z,,kfa_manseoryeok,v1
寒露,165.0,2004-10-07T22:52:00Z,,kfa_manseoryeok,v1
立冬,195.0,2004-11-07T02:06:00Z,,kfa_manseoryeok,v1
大雪,225.0,2004-12-06T18:50:00Z,,kfa_manseoryeok,v1
小寒,285.0,2004-01-06T00:17:00Z,,kfa_manseoryeok,v1
立春,315.0,2004-02-04T11:51:00Z,,kfa_manseoryeok,v1
驚蟄,345.0,2004-03-05T05:45:00Z,,kfa_manseoryeok,v1
